"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 7","1 wk ahead","Point","percent",NA,NA,3.4
"HHS Region 7","1 wk ahead","Bin","percent",0,0.1,1.1e-05
"HHS Region 7","1 wk ahead","Bin","percent",0.1,0.2,1.8e-05
"HHS Region 7","1 wk ahead","Bin","percent",0.2,0.3,2.9e-05
"HHS Region 7","1 wk ahead","Bin","percent",0.3,0.4,4.6e-05
"HHS Region 7","1 wk ahead","Bin","percent",0.4,0.5,7.2e-05
"HHS Region 7","1 wk ahead","Bin","percent",0.5,0.6,0.00011
"HHS Region 7","1 wk ahead","Bin","percent",0.6,0.7,0.00017
"HHS Region 7","1 wk ahead","Bin","percent",0.7,0.8,0.00025
"HHS Region 7","1 wk ahead","Bin","percent",0.8,0.9,0.00037
"HHS Region 7","1 wk ahead","Bin","percent",0.9,1,0.00053
"HHS Region 7","1 wk ahead","Bin","percent",1,1.1,0.00076
"HHS Region 7","1 wk ahead","Bin","percent",1.1,1.2,0.0011
"HHS Region 7","1 wk ahead","Bin","percent",1.2,1.3,0.0015
"HHS Region 7","1 wk ahead","Bin","percent",1.3,1.4,0.002
"HHS Region 7","1 wk ahead","Bin","percent",1.4,1.5,0.0027
"HHS Region 7","1 wk ahead","Bin","percent",1.5,1.6,0.0036
"HHS Region 7","1 wk ahead","Bin","percent",1.6,1.7,0.0048
"HHS Region 7","1 wk ahead","Bin","percent",1.7,1.8,0.0061
"HHS Region 7","1 wk ahead","Bin","percent",1.8,1.9,0.0078
"HHS Region 7","1 wk ahead","Bin","percent",1.9,2,0.0097
"HHS Region 7","1 wk ahead","Bin","percent",2,2.1,0.012
"HHS Region 7","1 wk ahead","Bin","percent",2.1,2.2,0.015
"HHS Region 7","1 wk ahead","Bin","percent",2.2,2.3,0.017
"HHS Region 7","1 wk ahead","Bin","percent",2.3,2.4,0.021
"HHS Region 7","1 wk ahead","Bin","percent",2.4,2.5,0.024
"HHS Region 7","1 wk ahead","Bin","percent",2.5,2.6,0.027
"HHS Region 7","1 wk ahead","Bin","percent",2.6,2.7,0.031
"HHS Region 7","1 wk ahead","Bin","percent",2.7,2.8,0.035
"HHS Region 7","1 wk ahead","Bin","percent",2.8,2.9,0.038
"HHS Region 7","1 wk ahead","Bin","percent",2.9,3,0.041
"HHS Region 7","1 wk ahead","Bin","percent",3,3.1,0.044
"HHS Region 7","1 wk ahead","Bin","percent",3.1,3.2,0.046
"HHS Region 7","1 wk ahead","Bin","percent",3.2,3.3,0.047
"HHS Region 7","1 wk ahead","Bin","percent",3.3,3.4,0.048
"HHS Region 7","1 wk ahead","Bin","percent",3.4,3.5,0.048
"HHS Region 7","1 wk ahead","Bin","percent",3.5,3.6,0.048
"HHS Region 7","1 wk ahead","Bin","percent",3.6,3.7,0.047
"HHS Region 7","1 wk ahead","Bin","percent",3.7,3.8,0.045
"HHS Region 7","1 wk ahead","Bin","percent",3.8,3.9,0.042
"HHS Region 7","1 wk ahead","Bin","percent",3.9,4,0.04
"HHS Region 7","1 wk ahead","Bin","percent",4,4.1,0.036
"HHS Region 7","1 wk ahead","Bin","percent",4.1,4.2,0.033
"HHS Region 7","1 wk ahead","Bin","percent",4.2,4.3,0.029
"HHS Region 7","1 wk ahead","Bin","percent",4.3,4.4,0.026
"HHS Region 7","1 wk ahead","Bin","percent",4.4,4.5,0.022
"HHS Region 7","1 wk ahead","Bin","percent",4.5,4.6,0.019
"HHS Region 7","1 wk ahead","Bin","percent",4.6,4.7,0.016
"HHS Region 7","1 wk ahead","Bin","percent",4.7,4.8,0.013
"HHS Region 7","1 wk ahead","Bin","percent",4.8,4.9,0.011
"HHS Region 7","1 wk ahead","Bin","percent",4.9,5,0.0088
"HHS Region 7","1 wk ahead","Bin","percent",5,5.1,0.007
"HHS Region 7","1 wk ahead","Bin","percent",5.1,5.2,0.0055
"HHS Region 7","1 wk ahead","Bin","percent",5.2,5.3,0.0042
"HHS Region 7","1 wk ahead","Bin","percent",5.3,5.4,0.0032
"HHS Region 7","1 wk ahead","Bin","percent",5.4,5.5,0.0024
"HHS Region 7","1 wk ahead","Bin","percent",5.5,5.6,0.0018
