"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
HHS Regions,Region 1,2015,XX,39,0,5,0,0,0,0,0
HHS Regions,Region 2,2015,XX,56,1,4,0,1,0,0,0
HHS Regions,Region 3,2015,XX,132,1,3,0,0,0,0,0
HHS Regions,Region 4,2015,XX,83,0,5,0,1,0,0,0
HHS Regions,Region 5,2015,XX,218,2,7,0,0,0,1,0
HHS Regions,Region 6,2015,XX,97,0,2,0,0,0,0,0
HHS Regions,Region 7,2015,XX,36,0,2,0,0,0,0,0
HHS Regions,Region 8,2015,XX,71,0,2,0,0,0,0,0
HHS Regions,Region 9,2015,XX,273,0,22,2,8,0,0,0
HHS Regions,Region 10,2015,XX,134,0,13,0,0,0,0,0
HHS Regions,Region 1,2015,XX,39,2,3,0,0,0,0,0
HHS Regions,Region 2,2015,XX,73,0,5,0,1,0,0,0
HHS Regions,Region 3,2015,XX,163,1,0,0,0,0,0,0
HHS Regions,Region 4,2015,XX,104,0,1,0,2,0,0,0
HHS Regions,Region 5,2015,XX,249,2,4,0,0,0,0,0
HHS Regions,Region 6,2015,XX,106,0,6,0,1,1,0,0
HHS Regions,Region 7,2015,XX,34,0,2,0,0,0,0,0
HHS Regions,Region 8,2015,XX,58,0,3,1,0,1,0,0
HHS Regions,Region 9,2015,XX,220,0,7,1,3,1,0,0
HHS Regions,Region 10,2015,XX,106,0,10,0,0,0,0,0
HHS Regions,Region 1,2015,XX,27,0,3,0,0,0,0,0
HHS Regions,Region 2,2015,XX,75,4,0,0,0,0,0,0
HHS Regions,Region 3,2015,XX,168,1,4,0,0,0,0,0
HHS Regions,Region 4,2015,XX,135,1,4,0,2,0,0,0
