"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Indiana","Season peak week","Point","week",NA,NA,4
"Indiana","Season peak week","Bin","week",40,41,5e-04
"Indiana","Season peak week","Bin","week",41,42,5e-04
"Indiana","Season peak week","Bin","week",42,43,5e-04
"Indiana","Season peak week","Bin","week",43,44,5e-04
"Indiana","Season peak week","Bin","week",44,45,5e-04
"Indiana","Season peak week","Bin","week",45,46,5e-04
"Indiana","Season peak week","Bin","week",46,47,5e-04
"Indiana","Season peak week","Bin","week",47,48,5e-04
"Indiana","Season peak week","Bin","week",48,49,5e-04
"Indiana","Season peak week","Bin","week",49,50,5e-04
"Indiana","Season peak week","Bin","week",50,51,5e-04
"Indiana","Season peak week","Bin","week",51,52,5e-04
"Indiana","Season peak week","Bin","week",52,53,0.3
"Indiana","Season peak week","Bin","week",1,2,5e-04
"Indiana","Season peak week","Bin","week",2,3,5e-04
"Indiana","Season peak week","Bin","week",3,4,5e-04
"Indiana","Season peak week","Bin","week",4,5,5e-04
"Indiana","Season peak week","Bin","week",5,6,0.18
"Indiana","Season peak week","Bin","week",6,7,0.073
"Indiana","Season peak week","Bin","week",7,8,0.11
"Indiana","Season peak week","Bin","week",8,9,0.1
"Indiana","Season peak week","Bin","week",9,10,5e-04
"Indiana","Season peak week","Bin","week",10,11,5e-04
"Indiana","Season peak week","Bin","week",11,12,0.12
"Indiana","Season peak week","Bin","week",12,13,0.098
"Indiana","Season peak week","Bin","week",13,14,5e-04
"Indiana","Season peak week","Bin","week",14,15,5e-04
"Indiana","Season peak week","Bin","week",15,16,5e-04
"Indiana","Season peak week","Bin","week",16,17,5e-04
"Indiana","Season peak week","Bin","week",17,18,5e-04
"Indiana","Season peak week","Bin","week",18,19,5e-04
"Indiana","Season peak week","Bin","week",19,20,5e-04
"Indiana","Season peak week","Bin","week",20,21,5e-04
