"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Wisconsin","Season peak percentage","Point","percent",NA,NA,4.3
"Wisconsin","Season peak percentage","Bin","percent",0,0.1,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.1,0.2,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.2,0.3,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.3,0.4,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.4,0.5,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.5,0.6,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.6,0.7,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.7,0.8,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.8,0.9,5e-04
"Wisconsin","Season peak percentage","Bin","percent",0.9,1,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1,1.1,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.1,1.2,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.2,1.3,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.3,1.4,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.4,1.5,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.5,1.6,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.6,1.7,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.7,1.8,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.8,1.9,5e-04
"Wisconsin","Season peak percentage","Bin","percent",1.9,2,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2,2.1,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.1,2.2,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.2,2.3,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.3,2.4,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.4,2.5,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.5,2.6,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.6,2.7,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.7,2.8,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.8,2.9,5e-04
"Wisconsin","Season peak percentage","Bin","percent",2.9,3,0.075
"Wisconsin","Season peak percentage","Bin","percent",3,3.1,0.084
"Wisconsin","Season peak percentage","Bin","percent",3.1,3.2,5e-04
"Wisconsin","Season peak percentage","Bin","percent",3.2,3.3,0.085
"Wisconsin","Season peak percentage","Bin","percent",3.3,3.4,5e-04
"Wisconsin","Season peak percentage","Bin","percent",3.4,3.5,0.12
"Wisconsin","Season peak percentage","Bin","percent",3.5,3.6,5e-04
"Wisconsin","Season peak percentage","Bin","percent",3.6,3.7,0.047
"Wisconsin","Season peak percentage","Bin","percent",3.7,3.8,0.037
