"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Vermont","1 wk ahead","Point","percent",NA,NA,2.7
"Vermont","1 wk ahead","Bin","percent",0,0.1,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.1,0.2,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.2,0.3,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.3,0.4,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.4,0.5,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.5,0.6,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.6,0.7,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.7,0.8,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.8,0.9,8.8e-08
"Vermont","1 wk ahead","Bin","percent",0.9,1,8.8e-08
"Vermont","1 wk ahead","Bin","percent",1,1.1,8.8e-08
"Vermont","1 wk ahead","Bin","percent",1.1,1.2,8.8e-08
"Vermont","1 wk ahead","Bin","percent",1.2,1.3,8.8e-08
"Vermont","1 wk ahead","Bin","percent",1.3,1.4,8.8e-08
"Vermont","1 wk ahead","Bin","percent",1.4,1.5,8.8e-08
"Vermont","1 wk ahead","Bin","percent",1.5,1.6,0.05
"Vermont","1 wk ahead","Bin","percent",1.6,1.7,0.046
"Vermont","1 wk ahead","Bin","percent",1.7,1.8,8.8e-08
"Vermont","1 wk ahead","Bin","percent",1.8,1.9,0.052
"Vermont","1 wk ahead","Bin","percent",1.9,2,8.8e-08
"Vermont","1 wk ahead","Bin","percent",2,2.1,8.8e-08
"Vermont","1 wk ahead","Bin","percent",2.1,2.2,0.047
"Vermont","1 wk ahead","Bin","percent",2.2,2.3,0.05
"Vermont","1 wk ahead","Bin","percent",2.3,2.4,8.8e-08
"Vermont","1 wk ahead","Bin","percent",2.4,2.5,8.8e-08
"Vermont","1 wk ahead","Bin","percent",2.5,2.6,0.043
"Vermont","1 wk ahead","Bin","percent",2.6,2.7,0.05
