"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
HHS Regions,Region 1,2015,40,693,2,3,0.721501,0.2886,0.4329
HHS Regions,Region 2,2015,40,1220,5,0,0.409836,0.409836,0
HHS Regions,Region 3,2015,40,896,0,1,0.111607,0,0.111607
HHS Regions,Region 4,2015,40,2486,24,16,1.60901,0.965406,0.643604
HHS Regions,Region 5,2015,40,2138,14,3,0.795136,0.654818,0.140318
HHS Regions,Region 6,2015,40,1774,8,16,1.35287,0.450958,0.901917
HHS Regions,Region 7,2015,40,621,2,1,0.483092,0.322061,0.161031
HHS Regions,Region 8,2015,40,824,1,1,0.242718,0.121359,0.121359
HHS Regions,Region 9,2015,40,980,25,2,2.7551,2.55102,0.204082
HHS Regions,Region 10,2015,40,397,3,0,0.755668,0.755668,0
HHS Regions,Region 1,2015,41,752,11,4,1.99468,1.46277,0.531915
HHS Regions,Region 2,2015,41,1367,4,2,0.438917,0.292612,0.146306
HHS Regions,Region 3,2015,41,1097,2,4,0.546946,0.182315,0.364631
HHS Regions,Region 4,2015,41,2759,38,14,1.88474,1.37731,0.50743
HHS Regions,Region 5,2015,41,2357,15,6,0.890963,0.636402,0.254561
HHS Regions,Region 6,2015,41,1952,10,16,1.33197,0.512295,0.819672
HHS Regions,Region 7,2015,41,690,5,5,1.44928,0.724638,0.724638
HHS Regions,Region 8,2015,41,843,3,0,0.355872,0.355872,0
HHS Regions,Region 9,2015,41,926,23,3,2.80778,2.4838,0.323974
HHS Regions,Region 10,2015,41,368,5,0,1.3587,1.3587,0
HHS Regions,Region 1,2015,42,708,4,3,0.988701,0.564972,0.423729
HHS Regions,Region 2,2015,42,1395,1,2,0.215054,0.0716846,0.143369
HHS Regions,Region 3,2015,42,1013,5,9,1.38203,0.493583,0.88845
HHS Regions,Region 4,2015,42,2981,61,13,2.48239,2.04629,0.436095
HHS Regions,Region 5,2015,42,2484,5,8,0.523349,0.201288,0.322061
HHS Regions,Region 6,2015,42,1937,6,15,1.08415,0.309757,0.774393
HHS Regions,Region 7,2015,42,724,6,0,0.828729,0.828729,0
HHS Regions,Region 8,2015,42,876,2,2,0.456621,0.228311,0.228311
HHS Regions,Region 9,2015,42,935,6,0,0.641711,0.641711,0
HHS Regions,Region 10,2015,42,388,1,0,0.257732,0.257732,0
HHS Regions,Region 1,2015,43,716,1,1,0.27933,0.139665,0.139665
HHS Regions,Region 2,2015,43,1414,7,3,0.707214,0.49505,0.212164
HHS Regions,Region 3,2015,43,1034,1,3,0.386847,0.0967118,0.290135
HHS Regions,Region 4,2015,43,2886,47,26,2.52945,1.62855,0.900901
HHS Regions,Region 5,2015,43,2594,13,6,0.73246,0.501157,0.231303
HHS Regions,Region 6,2015,43,1774,20,5,1.40924,1.1274,0.281849
HHS Regions,Region 7,2015,43,742,4,5,1.21294,0.539084,0.673854
HHS Regions,Region 8,2015,43,943,1,1,0.212089,0.106045,0.106045
HHS Regions,Region 9,2015,43,969,3,1,0.412797,0.309598,0.103199
HHS Regions,Region 10,2015,43,465,1,1,0.430108,0.215054,0.215054
HHS Regions,Region 1,2015,44,781,0,1,0.128041,0,0.128041
HHS Regions,Region 2,2015,44,1366,6,2,0.585652,0.439239,0.146413
HHS Regions,Region 3,2015,44,1171,2,6,0.683177,0.170794,0.512383
HHS Regions,Region 4,2015,44,3345,45,33,2.33184,1.34529,0.986547
HHS Regions,Region 5,2015,44,2645,13,10,0.869565,0.491493,0.378072
HHS Regions,Region 6,2015,44,1985,16,7,1.15869,0.806045,0.352645
HHS Regions,Region 7,2015,44,783,2,4,0.766284,0.255428,0.510856
HHS Regions,Region 8,2015,44,1028,1,1,0.194553,0.0972763,0.0972763
HHS Regions,Region 9,2015,44,1107,11,3,1.26468,0.993677,0.271003
HHS Regions,Region 10,2015,44,476,1,1,0.420168,0.210084,0.210084
HHS Regions,Region 1,2015,45,682,2,1,0.439883,0.293255,0.146628
HHS Regions,Region 2,2015,45,1443,6,2,0.554401,0.4158,0.1386
HHS Regions,Region 3,2015,45,1203,3,0,0.249377,0.249377,0
HHS Regions,Region 4,2015,45,3401,57,59,3.41076,1.67598,1.73478
HHS Regions,Region 5,2015,45,2623,23,3,0.991231,0.876859,0.114373
HHS Regions,Region 6,2015,45,2254,20,15,1.5528,0.887311,0.665484
HHS Regions,Region 7,2015,45,715,1,0,0.13986,0.13986,0
HHS Regions,Region 8,2015,45,1102,2,0,0.181488,0.181488,0
HHS Regions,Region 9,2015,45,1161,8,5,1.11972,0.689061,0.430663
HHS Regions,Region 10,2015,45,464,0,1,0.215517,0,0.215517
HHS Regions,Region 1,2015,46,779,1,1,0.256739,0.12837,0.12837
HHS Regions,Region 2,2015,46,1512,4,3,0.462963,0.26455,0.198413
HHS Regions,Region 3,2015,46,1239,2,6,0.645682,0.161421,0.484262
HHS Regions,Region 4,2015,46,3393,36,56,2.71146,1.06101,1.65046
HHS Regions,Region 5,2015,46,2735,15,8,0.840951,0.548446,0.292505
HHS Regions,Region 6,2015,46,2116,20,17,1.74858,0.94518,0.803403
HHS Regions,Region 7,2015,46,689,2,4,0.870827,0.290276,0.580552
HHS Regions,Region 8,2015,46,1038,0,0,0,0,0
HHS Regions,Region 9,2015,46,1200,4,2,0.5,0.333333,0.166667
HHS Regions,Region 10,2015,46,549,0,1,0.182149,0,0.182149
HHS Regions,Region 1,2015,47,788,2,1,0.380711,0.253807,0.126904
HHS Regions,Region 2,2015,47,1374,11,4,1.0917,0.800582,0.291121
