"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Alabama","Season onset","Point","week",NA,NA,44
"Alabama","Season onset","Bin","week","40","41",3e-04
"Alabama","Season onset","Bin","week","41","42",0.21
"Alabama","Season onset","Bin","week","42","43",3e-04
"Alabama","Season onset","Bin","week","43","44",3e-04
"Alabama","Season onset","Bin","week","44","45",0.36
"Alabama","Season onset","Bin","week","45","46",0.15
"Alabama","Season onset","Bin","week","46","47",0.15
"Alabama","Season onset","Bin","week","47","48",0.12
"Alabama","Season onset","Bin","week","48","49",3e-04
"Alabama","Season onset","Bin","week","49","50",3e-04
"Alabama","Season onset","Bin","week","50","51",3e-04
"Alabama","Season onset","Bin","week","51","52",3e-04
"Alabama","Season onset","Bin","week","52","53",3e-04
"Alabama","Season onset","Bin","week","1","2",3e-04
"Alabama","Season onset","Bin","week","2","3",3e-04
"Alabama","Season onset","Bin","week","3","4",3e-04
"Alabama","Season onset","Bin","week","4","5",3e-04
"Alabama","Season onset","Bin","week","5","6",3e-04
"Alabama","Season onset","Bin","week","6","7",3e-04
"Alabama","Season onset","Bin","week","7","8",3e-04
"Alabama","Season onset","Bin","week","8","9",3e-04
"Alabama","Season onset","Bin","week","9","10",3e-04
"Alabama","Season onset","Bin","week","10","11",3e-04
"Alabama","Season onset","Bin","week","11","12",3e-04
"Alabama","Season onset","Bin","week","12","13",3e-04
"Alabama","Season onset","Bin","week","13","14",3e-04
"Alabama","Season onset","Bin","week","14","15",3e-04
"Alabama","Season onset","Bin","week","15","16",3e-04
"Alabama","Season onset","Bin","week","16","17",3e-04
"Alabama","Season onset","Bin","week","17","18",3e-04
"Alabama","Season onset","Bin","week","18","19",3e-04
"Alabama","Season onset","Bin","week","19","20",3e-04
"Alabama","Season onset","Bin","week","20","21",3e-04
"Alabama","Season onset","Bin","week","none","none",3e-04
"Alabama","Season peak week","Point","week",NA,NA,4
"Alabama","Season peak week","Bin","week",40,41,0.00038
"Alabama","Season peak week","Bin","week",41,42,0.00038
"Alabama","Season peak week","Bin","week",42,43,0.00038
"Alabama","Season peak week","Bin","week",43,44,0.00038
"Alabama","Season peak week","Bin","week",44,45,0.00038
"Alabama","Season peak week","Bin","week",45,46,0.00038
"Alabama","Season peak week","Bin","week",46,47,0.00038
"Alabama","Season peak week","Bin","week",47,48,0.00038
"Alabama","Season peak week","Bin","week",48,49,0.00038
"Alabama","Season peak week","Bin","week",49,50,0.00038
"Alabama","Season peak week","Bin","week",50,51,0.00038
"Alabama","Season peak week","Bin","week",51,52,0.00038
"Alabama","Season peak week","Bin","week",52,53,0.24
"Alabama","Season peak week","Bin","week",1,2,0.00038
"Alabama","Season peak week","Bin","week",2,3,0.00038
"Alabama","Season peak week","Bin","week",3,4,0.00038
"Alabama","Season peak week","Bin","week",4,5,0.14
"Alabama","Season peak week","Bin","week",5,6,0.11
"Alabama","Season peak week","Bin","week",6,7,0.074
"Alabama","Season peak week","Bin","week",7,8,0.13
"Alabama","Season peak week","Bin","week",8,9,0.19
"Alabama","Season peak week","Bin","week",9,10,0.00038
"Alabama","Season peak week","Bin","week",10,11,0.00038
"Alabama","Season peak week","Bin","week",11,12,0.1
"Alabama","Season peak week","Bin","week",12,13,0.00038
