"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"California","1 wk ahead","Point","percent",NA,NA,1.8
"California","1 wk ahead","Bin","percent",0,0.1,1.2e-08
"California","1 wk ahead","Bin","percent",0.1,0.2,6.4e-08
"California","1 wk ahead","Bin","percent",0.2,0.3,3.3e-07
"California","1 wk ahead","Bin","percent",0.3,0.4,1.5e-06
"California","1 wk ahead","Bin","percent",0.4,0.5,6.3e-06
"California","1 wk ahead","Bin","percent",0.5,0.6,2.4e-05
"California","1 wk ahead","Bin","percent",0.6,0.7,8.2e-05
"California","1 wk ahead","Bin","percent",0.7,0.8,0.00026
"California","1 wk ahead","Bin","percent",0.8,0.9,0.00073
"California","1 wk ahead","Bin","percent",0.9,1,0.0019
"California","1 wk ahead","Bin","percent",1,1.1,0.0044
"California","1 wk ahead","Bin","percent",1.1,1.2,0.0094
"California","1 wk ahead","Bin","percent",1.2,1.3,0.018
"California","1 wk ahead","Bin","percent",1.3,1.4,0.032
"California","1 wk ahead","Bin","percent",1.4,1.5,0.051
"California","1 wk ahead","Bin","percent",1.5,1.6,0.073
"California","1 wk ahead","Bin","percent",1.6,1.7,0.096
"California","1 wk ahead","Bin","percent",1.7,1.8,0.11
"California","1 wk ahead","Bin","percent",1.8,1.9,0.12
"California","1 wk ahead","Bin","percent",1.9,2,0.12
"California","1 wk ahead","Bin","percent",2,2.1,0.11
"California","1 wk ahead","Bin","percent",2.1,2.2,0.087
"California","1 wk ahead","Bin","percent",2.2,2.3,0.064
"California","1 wk ahead","Bin","percent",2.3,2.4,0.043
"California","1 wk ahead","Bin","percent",2.4,2.5,0.026
"California","1 wk ahead","Bin","percent",2.5,2.6,0.014
"California","1 wk ahead","Bin","percent",2.6,2.7,0.0071
"California","1 wk ahead","Bin","percent",2.7,2.8,0.0032
"California","1 wk ahead","Bin","percent",2.8,2.9,0.0013
"California","1 wk ahead","Bin","percent",2.9,3,0.00049
"California","1 wk ahead","Bin","percent",3,3.1,0.00017
"California","1 wk ahead","Bin","percent",3.1,3.2,5.1e-05
"California","1 wk ahead","Bin","percent",3.2,3.3,1.4e-05
