"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 6","Season peak percentage","Point","percent",NA,NA,8.4
"HHS Region 6","Season peak percentage","Bin","percent",0,0.1,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.1,0.2,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.2,0.3,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.3,0.4,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.4,0.5,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.5,0.6,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.6,0.7,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.7,0.8,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.8,0.9,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",0.9,1,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1,1.1,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.1,1.2,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.2,1.3,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.3,1.4,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.4,1.5,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.5,1.6,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.6,1.7,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.7,1.8,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.8,1.9,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",1.9,2,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2,2.1,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.1,2.2,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.2,2.3,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.3,2.4,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.4,2.5,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.5,2.6,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.6,2.7,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.7,2.8,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.8,2.9,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",2.9,3,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",3,3.1,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",3.1,3.2,3e-04
"HHS Region 6","Season peak percentage","Bin","percent",3.2,3.3,3e-04
