"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"California","Season onset","Point","week",NA,NA,50
"California","Season onset","Bin","week","40","41",3e-04
"California","Season onset","Bin","week","41","42",3e-04
"California","Season onset","Bin","week","42","43",3e-04
"California","Season onset","Bin","week","43","44",3e-04
"California","Season onset","Bin","week","44","45",3e-04
"California","Season onset","Bin","week","45","46",3e-04
"California","Season onset","Bin","week","46","47",0.12
"California","Season onset","Bin","week","47","48",0.059
"California","Season onset","Bin","week","48","49",3e-04
"California","Season onset","Bin","week","49","50",3e-04
"California","Season onset","Bin","week","50","51",0.43
"California","Season onset","Bin","week","51","52",0.38
"California","Season onset","Bin","week","52","53",3e-04
"California","Season onset","Bin","week","1","2",3e-04
"California","Season onset","Bin","week","2","3",3e-04
"California","Season onset","Bin","week","3","4",3e-04
"California","Season onset","Bin","week","4","5",3e-04
"California","Season onset","Bin","week","5","6",3e-04
"California","Season onset","Bin","week","6","7",3e-04
"California","Season onset","Bin","week","7","8",3e-04
"California","Season onset","Bin","week","8","9",3e-04
"California","Season onset","Bin","week","9","10",3e-04
"California","Season onset","Bin","week","10","11",3e-04
"California","Season onset","Bin","week","11","12",3e-04
"California","Season onset","Bin","week","12","13",3e-04
"California","Season onset","Bin","week","13","14",3e-04
"California","Season onset","Bin","week","14","15",3e-04
"California","Season onset","Bin","week","15","16",3e-04
"California","Season onset","Bin","week","16","17",3e-04
"California","Season onset","Bin","week","17","18",3e-04
"California","Season onset","Bin","week","18","19",3e-04
"California","Season onset","Bin","week","19","20",3e-04
"California","Season onset","Bin","week","20","21",3e-04
"California","Season onset","Bin","week","none","none",3e-04
